Publisher Name,Publisher Registry Id,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,Time lag
Norwegian Refugee Council,nrc,0,34,12,1,24,8,6,11,1,0,14,0,A quarter
Nuffic,nuffic20171017,0,0,0,0,0,0,0,0,0,4,0,0,A quarter
Office for National Statistics,ons,14,20,7,15,13,16,18,16,18,19,0,0,A quarter
Options Consultancy Services,options,0,18,0,0,17,0,0,13,0,0,7,0,A quarter
Peaceful Change initiative,pci,0,2,0,0,1,0,0,1,0,0,1,0,A quarter
People in Need,pin,0,1,3,0,1,0,0,0,0,0,66,0,A quarter
Plan International Belgium,pib,8,0,0,0,0,0,0,0,0,2,0,0,A quarter
PlanBørnefonden,plb,0,0,0,0,0,2,1,0,0,0,2,0,A quarter
Practical Action,pa,1,84,0,1,166,0,1,142,0,0,4,0,A quarter
Queen Rania Foundation for Education and Development,qrfed,0,2,0,0,2,0,0,2,0,0,2,0,A quarter
Railway Children Africa,rc2africa,0,0,0,0,0,0,0,2,0,0,1,0,A quarter
Restless Development,restless,0,2,0,0,2,0,0,2,0,0,2,0,A quarter
Results for Development,r4d,0,17,1,0,24,1,0,24,0,0,16,0,A quarter
Rijksakademie van beeldende kunsten,rabk,0,0,0,0,0,0,0,3,8,11,0,0,A quarter
Royal Commonwealth Ex-Sevices League,rcel,0,1,3,19,2,0,1,0,11,11,0,0,A quarter
SNV Netherlands Development Organisation,snv,1,4,4,0,3,4,0,0,0,0,1,0,A quarter
Save the Children DK,redbarnet,0,0,2,0,1,1,1,0,0,0,2,0,A quarter
Save the Children Netherlands,scnl,1,28,4,0,41,4,0,23,0,0,34,0,A quarter
Simavi,simavi,14,11,20,11,16,14,16,1,0,0,1,0,A quarter
Small Arms Survey,sas_sana,0,0,0,0,0,0,0,0,0,1,0,0,A quarter
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo,0,3,0,1,2,1,2,2,0,0,2,0,A quarter
Stichting Vluchteling,st_vluchteling,8,5,5,37,10,2,2,0,6,0,0,1,A quarter
Studio Globo,sg,3,0,0,0,0,0,0,0,0,1,0,0,A quarter
Terre des Hommes Netherlands,tdh_nl,1,4,0,0,0,0,0,0,0,0,75,0,A quarter
The HALO Trust,halo,0,4,0,3,3,9,0,3,9,4,0,0,A quarter
The International Rescue Committee,irc_inc,1,101,3,0,88,0,0,58,0,0,26,0,A quarter
The University of Oxford,oxford,4,11,7,0,1,0,0,0,0,9,0,0,A quarter
Trocaire,trocaire,7,11,4,3,2,4,3,13,4,2,0,0,A quarter
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,0,3,0,0,3,0,0,2,0,0,2,0,A quarter
UK - Department for Work and Pensions,dwp,0,0,1,0,0,1,0,0,1,0,0,1,A quarter
"UK - Department of Science, Innovation and Technology",dsit,1,355,34,18,340,2,2,238,3,0,41,0,A quarter
UN Women,unw,0,0,0,0,0,0,0,0,0,1641,0,0,A quarter
United Nations Foundation,unf,2,3,1,0,3,2,0,3,0,1,0,0,A quarter
United World Schools,uws,2,0,0,1,0,0,1,0,2,2,0,0,A quarter
Universidad Cientifica del Sur,cientifica-pe,0,0,0,0,0,0,0,0,0,0,0,1,A quarter
University of Edinburgh,uoe,1,26,0,0,25,1,0,19,0,0,2,0,A quarter
War Child Alliance Foundation,wcaf,0,3,0,0,0,0,0,0,0,0,69,0,A quarter
War Child Netherlands,warchildholland,0,32,0,0,1,0,0,0,5,0,1,0,A quarter
WaterAid,wateraid,0,2,0,0,2,0,0,3,0,0,1,0,A quarter
Wildlife Conservation Society,wcs,0,1,0,1,0,0,0,3,0,0,3,0,A quarter
Women for Women International (UK),wfwiuk,0,0,0,0,16,0,0,3,0,0,0,2,A quarter
World Child Cancer UK,wccuk,2,2,0,1,2,3,0,2,1,0,2,0,A quarter
Yamaan Foundation for Health and Social Development,yffhsd,1,0,0,0,0,0,0,1,0,1,0,0,A quarter
Youth without border organization for development,ywbod,0,1,0,0,1,0,0,0,0,2,0,0,A quarter
forum for women in democracy,fowode,1,0,0,1,0,1,0,0,1,0,1,0,A quarter
siiqqee Women's Development Association,swda,0,0,0,1,0,1,0,0,0,1,0,0,A quarter
AUXFIN International B.V.,auxfinintl,0,0,0,0,0,0,0,1,0,0,0,0,Six months
Action Contre la Faim,acf-fr,0,1,0,0,0,1,0,0,1,0,0,0,Six months
Adili Solar Hubs Limited,adili_sh,0,1,0,0,1,0,1,0,0,0,0,0,Six months
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,4,0,0,3,0,0,3,0,0,0,0,Six months
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,36,24,40,23,41,26,35,23,2,0,0,0,Six months
Asociación Profamilia,profamilia,0,1,1,0,1,1,1,0,0,0,0,0,Six months
Association African Solidarité (AAS),240001090,0,0,0,0,0,0,1,0,0,0,0,0,Six months
Association CHS Alliance,chs_alliance,3,3,2,3,2,1,1,1,0,0,0,0,Six months
BDO LLP,bdo,0,0,3,0,0,0,3,0,0,0,0,0,Six months
Boston University,bu-carbx-admin,0,1,5,0,0,0,0,10,0,0,0,0,Six months
British Asian Trust,b_a_t,0,4,2,4,6,0,0,8,0,0,0,0,Six months
British International Investment plc,bii,5,11,3,8,6,6,10,3,0,0,0,0,Six months
British Red Cross,gb-chc-220949,11,31,27,26,14,22,22,38,9,0,0,0,Six months
CAF Banco de Desarrollo de América Latina y el Caribe,caf,0,4,2,5,2,5,4,3,5,0,0,0,Six months
CANADEM,canadem,0,2,0,0,2,0,0,2,0,0,0,0,Six months
CLASP,clasp,1,0,1,1,0,0,0,11,0,0,0,0,Six months
Cadasta Foundation,cadasta,1,0,0,1,0,0,1,0,0,0,0,0,Six months
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,0,1384,0,0,1444,0,0,1226,0,0,0,0,Six months
Catholic Relief Services,crs,0,11,1,0,10,0,1,9,0,0,0,0,Six months
Center for Civilians in Conflict,civic_admin,0,0,0,0,1,0,1,0,0,0,0,0,Six months
ClientEarth,clientearth-1,0,0,1,0,1,0,7,2,0,0,0,0,Six months
Conciliation Resources Australia,cra,0,0,0,0,0,0,1,3,4,0,0,0,Six months
Cowater International Inc,cowater,3,2,2,1,4,2,2,2,1,0,0,0,Six months
Cowater UK Limited,cowateruk,0,5,3,0,2,2,0,2,2,0,0,0,Six months
DCAF - Geneva Centre for Security Sector Governance,dcaf,1,2,0,0,1,1,0,1,0,0,0,0,Six months
Danmission,danmission,0,1,0,0,0,0,1,1,0,0,0,0,Six months
Diakonia (Sweden),diakonia-sweden,2,0,0,0,0,2,2,2,0,0,0,0,Six months
Dushtha Shasthya Kendra,dsk,0,1,0,1,0,0,0,0,1,0,0,0,Six months
EMMS International,emms,7,9,1,1,3,1,1,7,0,0,0,0,Six months
Education Development Trust,eddevtrust,3,33,1,0,21,2,1,21,10,0,0,0,Six months
Equality Fund,ef,41,9,1,11,3,2,7,0,0,0,0,0,Six months
FMO,fmo,6,0,7,1,9,3,2,3,0,0,0,0,Six months
Fight for Humanity,ffh,0,0,0,0,0,1,1,1,0,0,0,0,Six months
Food and Agriculture Organization of the United Nations (FAO),fao,0,1464,0,0,1450,0,0,1366,0,0,0,0,Six months
Free Press Unlimited,free_press_unlimited,0,0,0,0,0,0,0,1,0,0,0,0,Six months
GPPAC Foundation,gppac,0,0,0,0,1,0,0,0,1,0,0,0,Six months
Gender at Work,genderatwork,3,13,2,3,18,1,3,19,0,0,0,0,Six months
Global Alliance for Livestock Veterinary Medicines,galvmed,0,10,0,0,6,0,0,7,0,0,0,0,Six months
Global Fund for Community Foundations,gfcf,1,0,0,0,1,0,0,0,1,0,0,0,Six months
Gorongosa Restoration Project,grp,0,1,0,0,1,0,0,2,0,0,0,0,Six months
Handicap International Federation,hi_fed,0,5,1,2,1,2,1,0,0,0,0,0,Six months
"Harvard Global Research and Support Services, Inc.",harvard_global,0,2,0,0,3,0,0,3,0,0,0,0,Six months
IDH THE SUSTAINABLE TRADE INITIATIVE,idh-ghana,0,0,0,0,14,0,0,1,0,0,0,0,Six months
IMPACT Initiatives,impact_initiatives,0,0,0,0,0,0,0,1,0,0,0,0,Six months
IOD PARC,iodparc,0,8,6,0,0,6,1,0,6,0,0,0,Six months
Institute for Family Health,khf_ifh,2,0,0,0,7,0,0,5,0,0,0,0,Six months
International Bureau of Fiscal Documentation (IBFD),ibfd,0,0,3,4,0,2,1,0,0,0,0,0,Six months
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,4,11,9,2,9,0,0,11,5,0,0,0,Six months
International Fertilizer Development Center,ifdc-us,1,1,3,0,0,1,1,0,1,0,0,0,Six months
International Foundation for Electoral Systems,ifes,1,0,4,0,0,0,0,1,0,0,0,0,Six months
International Institute for Environment and Development,iied,20,48,11,4,32,21,21,6,0,0,0,0,Six months
International Media Support,ims,1,0,0,0,0,1,0,1,0,0,0,0,Six months
International Nepal Fellowship Nepal,infnepal,0,1,0,0,2,0,0,2,0,0,0,0,Six months
Interpeace,interpeace,9,50,9,7,35,8,4,43,0,0,0,0,Six months
King's College London,kingscollegelondon,0,0,0,0,0,0,0,0,5,0,0,0,Six months
Link Community Development International,lcdi_admin,0,1,0,0,1,0,1,0,0,0,0,0,Six months
MAG,mag,0,35,0,7,26,7,1,22,0,0,0,0,Six months
MSI Reproductive Choices,msi,3,16,4,3,14,1,5,7,1,0,0,0,Six months
Mercy Corps Netherlands,mcn,0,5,0,0,3,0,0,2,0,0,0,0,Six months
Nesta,nesta,0,0,0,0,0,0,0,1,0,0,0,0,Six months
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,5,0,0,0,0,0,0,1,0,0,0,0,Six months
Nonviolent Peaceforce South Sudan,npss,0,0,0,0,0,0,0,2,0,0,0,0,Six months
Norwegian People's Aid,npa,0,0,0,0,0,0,0,16,0,0,0,0,Six months
Obodo Centre for Advocacy and Equal Rights,obodo_ng,0,0,0,1,0,0,1,1,12,0,0,0,Six months
Oxfam GB,oxfamgb,0,1045,382,0,829,0,0,926,0,0,0,0,Six months
Oxford Policy Management,opml,0,0,0,0,0,0,0,7,0,0,0,0,Six months
PPAG,ppag_123,0,0,0,0,0,0,5,0,0,0,0,0,Six months
PUM Netherlands,pumnl,0,1,0,0,0,0,0,35,0,0,0,0,Six months
Palladium International Ltd (UK),palladium,3,34,2,0,2,0,0,3,0,0,0,0,Six months
PricewaterhouseCoopers Private Limited India,pwcplindia,0,2,1,1,1,1,0,1,1,0,0,0,Six months
PwC,pwc,0,16,0,0,20,0,0,15,0,0,0,0,Six months
Republic of Korea,odakorea,44,109,83,41,63,15,307,3932,17,0,0,0,Six months
Right To Play UK,rtp_uk,0,0,0,0,1,0,0,1,0,0,0,0,Six months
Royal Botanic Gardens Kew,rbg_kew,2,3,2,2,2,0,3,3,0,0,0,0,Six months
SOS Børnebyerne,sosdk,0,1,0,0,0,0,1,0,0,0,0,0,Six months
SOS Children's Villages The Netherlands,sosnl,6,5,2,5,7,1,4,7,0,0,0,0,Six months
Scotland's International Development Alliance,sinda,0,0,0,0,2,0,1,1,0,0,0,0,Six months
Siasa Place,sp,0,0,0,0,0,0,0,1,0,0,0,0,Six months
Solar Cooling Engineering GmbH,sce-gmbh,0,0,1,0,0,2,0,1,0,0,0,0,Six months
Solidar Suisse,solidarsuisse,1,7,2,1,9,0,2,8,2,0,0,0,Six months
Southeast Asia Freedom of Expression Network (SAFEnet),safenet,0,0,0,0,0,0,0,0,1,0,0,0,Six months
Stichting Beheer Subsidiegelden DRA,stichting-subsidiegelden-dra,0,0,2,2,2,2,0,2,3,0,0,0,Six months
Stichting Habitat for Humanity Nederland,hfhnl,0,0,2,0,0,0,1,0,0,0,0,0,Six months
Stichting Red een Kind,redeenkind,8,7,0,0,3,2,0,3,0,0,0,0,Six months
Stichting Wilde Ganzen/ IKON,nl_wg,1,2,0,1,6,0,7,1,0,0,0,0,Six months
Stichting Woord en Daad,w-d,4,6,16,7,4,10,7,2,0,0,0,0,Six months
Stichting fondsbeheer DGGF lokaal MKB,dggf_financing_local_smes,4,15,16,6,14,9,3,1,0,0,0,0,Six months
Stonewall Equality Limited,stonewa11,0,6,0,3,0,3,0,0,6,0,0,0,Six months
Tanager,tan,4,3,3,4,4,2,4,5,0,0,0,0,Six months
The George Washington University,gwu_gwi,1,5,1,0,3,2,4,3,0,0,0,0,Six months
The Kvinna till Kvinna Foundation - Head Office,ktk_ho,0,0,0,0,12,4,0,4,0,0,0,0,Six months
The Open University,open_university,2,4,3,4,4,1,2,2,0,0,0,0,Six months
The Wildfowl and Wetlands Trust,gb-chc-1030884,0,0,0,0,1,0,1,0,0,0,0,0,Six months
Transparency International Bangladesh,tib,3,6,2,0,4,0,0,4,0,0,0,0,Six months
Tropical Health Consulting,thc,0,0,0,0,0,0,0,0,2,0,0,0,Six months
Universities UK,uuk,0,0,2,1,0,1,2,0,0,0,0,0,Six months
University of Exeter,uoex,0,0,0,0,0,0,0,0,1,0,0,0,Six months
University of Sussex,uos,0,0,4,3,7,0,1,0,0,0,0,0,Six months
University of York,uoy,0,0,0,0,0,4,0,3,0,0,0,0,Six months
VNG International,vngi,0,1,0,0,0,1,0,0,2,0,0,0,Six months
WAJIBU - Institute of Public Accountability,wajibu,1,1,0,2,1,0,0,2,0,0,0,0,Six months
Women's Fund Asia,wf-asia,8,57,5,2,3,7,3,3,0,0,0,0,Six months
World Relief Corp of National Association of Evangelicals,worldrelief,0,1,0,0,1,0,0,1,0,0,0,0,Six months
World Vision Democratic Republic of Congo,wv_cd,7,4,3,7,6,5,6,0,0,0,0,0,Six months
World Vision Ethiopia,wv_et_activities,5,2,0,3,1,3,3,0,0,0,0,0,Six months
World Vision International,wvi,0,691,0,0,722,0,0,685,0,0,0,0,Six months
World Vision Netherlands,wvnld,27,8,0,3,1,4,5,0,0,0,0,0,Six months
Zoological Society of London,zsl,0,21,0,0,31,0,0,34,0,0,0,0,Six months
iDE,ide,0,0,0,4,0,0,2,0,0,0,0,0,Six months
marysmeals,marysmeals,0,4,0,0,4,0,0,1,0,0,0,0,Six months
