name,title,publisher_frequency,publisher_frequency_select,publisher_implementation_schedule,publisher_ui,publisher_field_exclusions,publisher_contact,image_url,display_name,publisher_iati_id,publisher_units,publisher_record_exclusions,publisher_data_quality,publisher_country,publisher_description,publisher_refs,publisher_thresholdspublisher_agencies,publisher_constraints,publisher_organization_type,publisher_segmentation,license_id,state,publisher_timeliness
elo,EloGroup,0,quarterly,0,0,0,"Rua da Quitanda 60, 3rd floor, Centro, Rio de Janeiro/RJ, Brasil",https://elogroup.com.br/wp-content/uploads/2018/12/2014.jpg,0,BR-CNPJ-08670505000175,0,0,0,BR,0,0,0,0,70,0,odc-by,active,0
pci,Peaceful Change initiative,0,not_specified,0,0,0,"25b Lloyd Baker Street, London, WC1X 9AT, UK",http://peacefulchange.org/wp-content/uploads/2023/03/PCI_Logo_RGB_LR.jpg,0,GB-CHC-1162997,0,0,0,GB,"The Peaceful Change initiative is an independent, international non-governmental organisation working to help societies manage large-scale change in non-violent ways that build the mechanisms and relationships that support long-term peace.",0,0,0,21,0,cc-by,active,0
khf,King Hussein Foundation,0,not_specified,0,0,0,"17 Abdul Muttaleb Street, Ash Shumaysani, Amman, Jordan",0,0,XI-IATI-KHF,0,0,0,JO,0,0,0,0,22,0,odc-by,active,0
wrgb,Grand Bargain Test,0,not_specified,0,0,0,0,0,0,GB-COH-893249298,0,0,0,0,0,0,0,0,80,0,odc-by,active,0
di,Confederation of Danish Industry,0,not_specified,0,0,0,0,0,0,DK-CVR-16077593,0,0,0,DK,0,0,0,0,70,0,odc-pddl,active,0
irex,IREX (International Research and Exchange Board),0,quarterly,0,0,0,"Headquarters
United States
1275 K Street, NW, Suite 600
Washington, DC 20005
Tel: +1 202-628-8188
Fax: +1 202-628-8189
E-mail: communications@irex.org",https://www.irex.org/sites/default/files/storage-images/IREX_Logo_Color-H.jpg,0,US-EIN-22-3087809,0,0,0,US,0,0,0,0,21,0,other-pd,active,0
ssbv-1,SEMiLLA Sanitation,0,not_specified,0,0,0,"Zaagmolenpad 45, 7008AG Doetinchem",0,0,NL-KVK-68518080,0,0,0,NL,"SEMiLLA Sanitation implements Closed Loop water Concepts (CLC) on space technology. The CLC treats grey, yellow and black water and produces value products such as water, fertilizer, compost and biogas.",0,0,0,70,0,cc-by,active,0
comp_uk,Compassion UK,0,not_specified,0,0,0,"Compassion House
Barley Way
Fleet
GU51 2UT
",0,0,GB-CHC-1077216,0,0,0,GB,0,0,0,0,21,0,cc-by,active,0
mamac,Mama Cash,Mama Cash will publish content data regarding our programmatic work once per quarter. We will publish financial data once per year after our annual accounts have been audited.,quarterly,0,0,0,"Gil Levy
Data and Reporting Management Officer

g.levy@mamacash.org",http://www.mamacash.org/content/uploads/2016/06/Logo-Mama-Cash_300dpi.jpg,0,NL-KVK-41202535,0,"Mama Cash embraces the principle “Open, unless…” or “Publication, unless.”. The below articles describe the principles which guide Mama Cash and its partners to make decisions to publish only parts of the information or to not publish any information of the activity. Mama Cash partners can include additional principles that apply only for their individual publication of data resulting of their activities undertaken.

General principles for exclusion
1.1 External relations
Mama Cash will not publish data that might harm the relationship with local governments, local institutions, its partners, individuals or (back) donors. All stakeholders are informed upfront about the Mama Cash exclusion policy before publishing data. The stakeholders have a possibility to request exclusion, based on the principles in this exclusion policy which need to be followed up by Mama Cash. Mama Cash is, at all times, the final decision-maker for exclusion of data.
1.2 Security and safety
Mama Cash will not publish data of which it can reasonably be expected that it might pose a risk to the physical or psycological safety or security of any individuals, members of staff, groups of beneficiaries, partner organizations, (back) donors or suppliers. 
1.3 Privacy
Mama Cash will not publish any activity information (photos, names, personal information) that is traceable to an individual person and can reasonably be judged as an invasion of the privacy of that person.
1.4 Legal/Contractual
Mama Cash will not publish data if it does not have the right to publish the data or if contractual agreements with (back) donors or partner organisations impede Mama Cash’s right to publish the data.
1.5 Social Impact
Mama Cash will not publish data that possibly harm the social impact of their partners in general and/or the activity undertaken by the partner.
1.6 Operational damage
Mama Cash will not publish if sharing information on an activity (ties) could be disadvantageous to its success.
1.7 Details
Mama Cash will not publish unnecessarily detailed information such as exact dates and locations. The level of detail that can be given depends on the type of activity. Activities which are generally considered safe can be published at the national level while very sensitive activities will be published at the regional level.
1.8  Openness about the exclusion policy
Mama Cash will be transparent about the exclusion policy that it applies. This policy will therefore be published on its website. CMI! Consortium members will publish all excluded activities as separate activities mentioning an activity identifier and the total commitments for the activity.
1.9  Data Quality
Mama Cash values the quality and consistency of their open data. Therefore Mama Cash will publish only activities data that meet the minimum requirements of secure and liable information. Data that do not meet the minimum requirements will be excluded.
2.0 Financal data
Mama Cash will publish financial data annually as the costs for publishing/obtaining the data are too high in relation to the relevance of the data for the public. 
",0,NL,"Mama Cash is dedicated to advancing and defending the human rights of women, girls and trans people worldwide. We do so by supporting the collective action of women, girls and trans people to control their bodies, make and influence decisions in public and private life, determine how economic and other resources are used, and live free, pleasurable lives. Our goal is to contribute to strong feminist groups and movements that organise together to end inequality and injustice. 
Because courageous women’s, girls’ and trans people’s human rights organisations worldwide need funding and supportive networks in order to grow and transform their communities, Mama Cash mobilises resources from individuals and institutions, makes grants to women’s, girls’ and trans people’s human rights organisations, and helps to build the partnerships and networks needed to successfully defend and advance women’s, girls’ and trans people’s human rights globally. 
We accomplish our work through three key strategies:  Grantmaking and Accompaniment, Strengthening Women’s Funds, and Influencing the Donor Community.",0,0,0,60,0,odc-by,active,30 Days after the end of a quarter the data will be published
eps-swat,Environmental Protection Society,0,quarterly,0,0,0,"Environmental Protection Society (EPS) Darbar Sadiu Sharif, Swat Khyber PukhtunKhwa Pakistan Phone: +92-946-9240254, Fax: 0946 721062
",http://eps-swat.org/,0,PK-PCP-2005/0014,0,0,0,PK,"Environmental Protection Society (EPS) is a non-governmental, non-ethnic, non-political and indigenous organization working in the region since 1991. Its main activities and projects were concentrated in District Swat where it earned a good name and started its journey towards professionalism as well and extended its interventions to the surrounding districts; Shangla, Kohistan, Batagram, Buner, Malakand, Upper Dir and Lower Dir where EPS had already developed good working relations with most of the organizations and line departments. EPS head office is located in Saidu Sharif, district Swat and is registered in 1994 under the Societies Registration Act, 1860",0,0,0,22,0,other-nc,active,0
dcaf,DCAF - Geneva Centre for Security Sector Governance,0,not_specified,0,0,0,"DCAF
Maison de la Paix Chemin Eugène-Rigot 2E, 
1202 Geneva, 
Switzerland",0,0,CH-FDJP-109458452,0,0,0,CH,"DCAF - Geneva Centre for Security Sector Governance is dedicated to improving the security of states and their people within a framework of democratic governance, the rule of law and respect for human rights.

DCAF assists partner states, and international actors supporting these states, to improve the governance of their security sector through inclusive and participatory reforms based on international norms and good practices.

DCAF creates original knowledge products, promotes norms and good practices, provides policy advice, and supports capacity building of non-governmental security sector stakeholders.
",0,0,0,60,0,cc-by-sa,active,0
ihap,Instituta Hak Asasi Perempuan (IHAP),0,not_specified,0,0,0,"1. Perum Arta Graha Blok J-7 Oebobo, Kupang, Nusa Tenggara Timur
2. Jl. Basuki Rahmat, Kenari, Benpasi, Kefamenanu, Timor Tengah Utara, Nusa Tenggara Timur
3. Perum Wirosaban Baru A-11 Yogyakarta",http://ihap.or.id/wp-content/uploads/2015/03/logo.jpg,0,ID-KHH-6015010634100023,0,0,0,ID,0,0,0,0,22,0,notspecified,active,0
ntfp-ep,Non-Timber Forest Products Exchange Programme,0,annually,0,0,0,"92-A Masikap Ext. Barangay Central Diliman, 1100 Quezon City Philippines",0,0,PH-SEC-CN200324943,0,0,0,PH,0,0,0,0,23,0,odc-odbl,active,0
alab-nigeria,Accountability Lab Nigeria,0,not_specified,0,0,0,"Unit 7, No 4 Sefado Close,
Behind 4U Superstores,
Off Ademola Adetokunbo Crescent
Wuse II – Abuja",0,0,NG-CAC-111305,0,0,0,NG,0,0,0,0,22,0,other-pd,active,0
raleigh_int,Raleigh International,0,not_specified,0,0,0,"Third Floor, Dean Bradley House
52 Horseferry Road
London SW1P 2AF",0,0,GB-CHC-1047653,0,0,0,GB,"RALEIGH INTERNATIONAL IS A SUSTAINABLE DEVELOPMENT CHARITY. WE HARNESS THE PASSION AND ENERGY OF YOUNG PEOPLE TO EFFECT POSITIVE CHANGE. OUR PROGRAMMES FOCUS ON PROVIDING ACCESS TO SAFE WATER AND SANITATION, PROTECTING VULNERABLE ENVIRONMENTS AND BUILDING RESILIENT COMMUNITIES. WE OPERATE IN PARTNERSHIP WITH COMMUNITIES, NON-GOVERNMENTAL ORGANISATIONS AND GOVERNMENTS IN 5 COUNTRIES AND IN THE UK.",0,0,0,21,0,cc-zero,active,0
the_nature_conservancy,The Nature Conservancy,0,not_specified,0,0,0,0,https://www.nature.org/en-us/,0,US-EIN-53-0242652,0,0,0,US,0,0,0,0,21,0,other-open,active,0
pmo-us,Promundo-US,0,not_specified,0,0,0,0,0,0,US-EIN-26-1931968,0,0,0,US,0,0,0,0,21,0,notspecified,active,0
yem_mopic,Ministry of Planning and International Cooperation,0,not_specified,0,0,0,"Eng. Kamal H. Masoud
National Coordinator for Yemen Aid Management Information Systems
Ministry of Planning and International Cooperation 
P.O.Box (175)
Alhurriah St. 
Sana'a
Republic of Yemen",http://zhenghe.tripod.com/flags/big/yemen.jpg,0,Yem_MoPIC,0,0,0,YE,0,0,0,0,10,0,other-open,active,0
knvb,Royal Netherlands Football Association,0,not_specified,0,0,0,0,0,0,NL-KVK-40478591,0,0,0,NL,"WorldCoaches is the international social program of the Royal Netherlands Football Association (KNVB). Its aim is to educate local coaches to become more than a football coach; a role model on and off the pitch.

The KNVB has trained football coaches in developing countries since 1997. In 2009, this program evolved into WorldCoaches. With a new name came a focus on combining football training with developing life skills to empower young people and their community. By balancing football training with life skills coaching, a WorldCoach teaches children and youth to become better footballers and at the same time guides them in issues faced in their daily lives. The program focuses on three main pillars: personal development, health and social cohesion.",0,0,0,15,0,notspecified,active,0
dps-nampula,Direcção Provincial de Saúde de Nampula,0,quarterly,Not Aplicable,0,0,0,0,0,MZ-NUIT-500004037,0,0,0,MZ,0,0,0,0,10,0,cc-zero,active,Monthly basis.
uofg,University of Glasgow,0,not_specified,0,0,0,0,0,0,GB-UKPRN-10007794,0,0,0,GB,0,0,0,0,80,0,cc-by,active,0
nj_1,Natural Justice,0,quarterly,"Every quater (i.e., 4 quaters)",0,0,0,https://naturaljustice.org/about-us/,0,ZA-NPO-057-611,0,0,0,ZA,"63 Hout Street
Mercantile Building
Cape Town, 8000
South Africa",0,0,0,23,0,odc-pddl,active,0
wygi,WYG International B.V.,0,quarterly,https://www.wyg.com/uploads/files/pdfs/WYG_IATI_Implementation_Schedule-2018.pdf,0,0,"katie.wigham@wyg.com
+44 1623 684 501",http://www.wyg.com/uploads/images/footer/wyg-rgb-large.jpg,0,NL-KVK-06702132, ,0,0,GB,"WYG is a global project management and technical consultancy with a difference. Our in-house team brings together over 1,500 specialists from a diverse set of disciplines. Our connections reach even further as we bring together a network of over 20,000 partners and associates across the globe.

Together, we provide bespoke solutions, making our clients’ ambitions possible.

Our people are designers, project managers, engineers, surveyors, town planners, environmental specialists and business service professionals. The breadth of our skills and knowledge allows us to provide a unique integrated approach to projects whatever their size, complexity or geography.
",0,0,0,70,0,other-at,active,"We are able to publish the data quarterly, usually within one month of our month end period."
hdi,Health Development Initiative,0,not_specified,0,0,0,"Kigali - Kicukiro, KK 649 ST 34",0,0,RW-RGB-77-RGB-NGO-2013,0,0,0,RW,0,0,0,0,22,0,cc-by,active,0
knust,Kwame Nkrumah University of Science and Technology,0,not_specified,0,0,0,"Kwame Nkrumah University of Science and Technology-School of Public Health
Accra Road
Kumasi",https://sph.knust.edu.gh/,0,XI-GRID-grid.9829.a,0,0,0,GH,"The Kwame Nkrumah University of Science and technology-School of Public Health focuses on offering training programs in public at t he undergraduate and graduate levels. The School also has a huge public health research portfolio that seeks to address local public health challenges, and in partnership with other agencies and institutions, international public health challenges. Finally, the School supports local communities to improve public health indicators at the household, family and community levels",0,0,0,80,0,other-pd,active,0
tropicalhealth,Tropical Health and Education Trust,0,six_monthly,0,0,0,"1 Wimpole Street
London
W1G 0AE",0,0,GB-CHC-1113101,Projects and programmes,0,0,GB,"For over twenty-five years, THET has been training health workers to build a world where everyone has access to affordable and quality healthcare.

We do this by leveraging the expertise and energy of the UK health community, supporting health partnerships between hospitals, colleges and clinics in the UK and those overseas.",0,0,0,21,0,notspecified,active,0
duf,DUF - The Danish Youth Council,0,not_specified,0,0,0,"DUF - The Danish Youth Council
Scherfigsvej 5
2100 Copenhagen ",0,0,DK-CVR-13078513,0,0,0,DK,"DUF – The Danish Youth Council is an umbrella organization with 75 children and youth organizations as members. The member organizations of DUF range from scouts to political youth organizations, voluntary social organizations, cultural organizations, environmental organizations, organizations for youth with disabilities and many more.",0,0,0,22,0,cc-zero,active,0
