Publisher Name,Publisher Registry Id,Publisher Type,Number of Activities,Publishing Humanitarian,Using Humanitarian Attribute,Appeal or Emergency Details,Clusters,Humanitarian Score
African Population and Health Research Center,aphrc,International NGO,1,100,100.0,0.0,0.0,50.0
African Revival,africanrevival,International NGO,1,100,100.0,0.0,0.0,50.0
African Security Sector Network,assn,National NGO,0,0,0.0,0.0,0.0,0.0
African Tax Administration Forum,ataf,International NGO,0,0,0.0,0.0,0.0,0.0
African Women's Development and Communication Network,femnet,Regional NGO,14,100,100.0,0.0,0.0,50.0
African Women's Development Fund,awdf,Regional NGO,0,0,0.0,0.0,0.0,0.0
Afrikagrupperna Sweden,afrikagrupperna,International NGO,0,0,0.0,0.0,0.0,0.0
AfriKids,afrikids,International NGO,0,0,0.0,0.0,0.0,0.0
Aga Khan Foundation (United Kingdom),akfuk73,International NGO,0,0,0.0,0.0,0.0,0.0
Aga Khan Foundation Afghanistan,akf_afghanistan,Foundation,3,100,100.0,0.0,0.0,50.0
AgDevCo,agdevco,Private Sector,0,0,0.0,0.0,0.0,0.0
Agence Française de Développement,afd,Other Public Sector,27,100,0.0,0.0,0.0,25.0
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,Government,0,0,0.0,0.0,0.0,0.0
Agency for Cooperation and Research in Development (ACORD),acord,International NGO,0,0,0.0,0.0,0.0,0.0
AgResults Initiative,agresults,Multilateral,11,100,100.0,0.0,0.0,50.0
Agroicone,agroicone,Private Sector,0,0,0.0,0.0,0.0,0.0
Agsol Limited,agsollimited,Private Sector,0,0,0.0,0.0,0.0,0.0
Agulhas Applied Knowledge,aak,Private Sector,0,0,0.0,0.0,0.0,0.0
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,Government,0,0,0.0,0.0,0.0,0.0
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,Government,704,100,100.0,0.0,0.0,50.0
AidData,aiddata,"Academic, Training and Research",503,100,0.0,0.0,0.0,25.0
AIDS and Rights Alliance for Southern Africa,arasaregional,Regional NGO,4,100,100.0,0.0,0.0,50.0
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,International NGO,0,0,0.0,0.0,0.0,0.0
AIDSPAN,aidspan,International NGO,0,0,0.0,0.0,0.0,0.0
Air Charter Service Group Ltd,acs_group,Private Sector,0,0,0.0,0.0,0.0,0.0
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,National NGO,0,0,0.0,0.0,0.0,0.0
Akili Dada,ad,National NGO,0,0,0.0,0.0,0.0,0.0
Akina Mama wa Afrika,amwa,International NGO,0,0,0.0,0.0,0.0,0.0
Aktis Strategy Ltd,aktis,Private Sector,0,0,0.0,0.0,0.0,0.0
Akvo Foundation,akvo,International NGO,0,0,0.0,0.0,0.0,0.0
Al Majmoua,al_majmoua,National NGO,0,0,0.0,0.0,0.0,0.0
Alcis Holdings Limited,alcis,Private Sector,0,0,0.0,0.0,0.0,0.0
Alfalit,alfalit,National NGO,0,0,0.0,0.0,0.0,0.0
Alinea International Ltd.,alineainternational_2020,Private Sector,0,0,0.0,0.0,0.0,0.0
Alinea International Ltd. UK,alinea_uk,Private Sector,0,0,0.0,0.0,0.0,0.0
All We Can (formerly Methodist Relief and Development Fund),allwecan,International NGO,0,0,0.0,0.0,0.0,0.0
Allergy and Asthma Institute Pakistan,aaip,"Academic, Training and Research",2,100,100.0,0.0,0.0,50.0
Alliance for a Green Revolution for Africa,agra,International NGO,0,0,0.0,0.0,0.0,0.0
"Alliance for Global Water Adaptation, Inc",agwa,International NGO,0,0,0.0,0.0,0.0,0.0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,International NGO,1,100,100.0,0.0,0.0,50.0
Altai Consulting,altai,Private Sector,0,0,0.0,0.0,0.0,0.0
American Friends Service Committee,afsc,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Amnesty International The Netherlands,amnesty,International NGO,0,0,0.0,0.0,0.0,0.0
Amnesty International UK Section Charitable Trust,aiuk,International NGO,0,0,0.0,0.0,0.0,0.0
AmplifyChange,amplifychange,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Flying Doctors,amrefnl,National NGO,1,100,100.0,0.0,0.0,50.0
Amref Health Africa - UK,amrefha,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Health Africa Headquarters,amrefhq,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Health Africa in Ethiopia,amrefeth,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Health Africa in Kenya,amrefkenya,International NGO,0,0,0.0,0.0,0.0,0.0
Amref health Africa in Senegal,awa_sn,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Health Africa in Tanzania,amreftz,International NGO,0,0,0.0,0.0,0.0,0.0
Amref Health Africa in Uganda,amrefug,National NGO,2,100,100.0,0.0,0.0,50.0
Amref Health Africa Malawi,amrefmw,National NGO,0,0,0.0,0.0,0.0,0.0
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,National NGO,1,100,100.0,0.0,0.0,50.0
ANDA,anda,National NGO,0,0,0.0,0.0,0.0,0.0
Anti-Slavery International,asil,International NGO,0,0,0.0,0.0,0.0,0.0
Apollo Agriculture,apolloagriculture,Private Sector,0,0,0.0,0.0,0.0,0.0
APOPO,apopo,International NGO,0,0,0.0,0.0,0.0,0.0
APPRO-Europe,appro-eu,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
APT Action on Poverty,apt,International NGO,0,0,0.0,0.0,0.0,0.0
Aqua for All,aqua4all,Foundation,0,0,0.0,0.0,0.0,0.0
Arab foundation for freedoms and equality,afemena,Regional NGO,0,0,0.0,0.0,0.0,0.0
Arab Reporters for Investigative Journalism,arij,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Arab Women Organization of Jordan,awo2022,National NGO,0,0,0.0,0.0,0.0,0.0
ARK (Absolute Return for Kids),ark,International NGO,0,0,0.0,0.0,0.0,0.0
ARK Group DMCC,arkgroupdmcc1,Private Sector,1,100,100.0,0.0,0.0,50.0
ARQ International,arq_intl,Foundation,1,100,100.0,0.0,100.0,75.0
Article19,art19,International NGO,0,0,0.0,0.0,0.0,0.0
Ashoka East Africa,ashoka,International NGO,1,100,100.0,0.0,0.0,50.0
Asia Justice and Rights,ajar,Regional NGO,0,0,0.0,0.0,0.0,0.0
Asian Coalition for Housing Rights,achr,Regional NGO,1,100,100.0,0.0,0.0,50.0
Asian Development Bank,asdb,Multilateral,0,0,0.0,0.0,0.0,0.0
Asian-Pacific Resource and Research Centre for Women (ARROW),my-ssm,Regional NGO,0,0,0.0,0.0,0.0,0.0
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,rpm,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
Asociación Profamilia,profamilia,Private Sector,0,0,0.0,0.0,0.0,0.0
Assistance Mission for Africa,ama-south-sudan,National NGO,1,100,100.0,0.0,0.0,50.0
Association African Solidarité (AAS),240001090,National NGO,1,100,100.0,0.0,0.0,50.0
Association Béninoise pour la Promotion de la Famille,abpf,National NGO,0,0,0.0,0.0,0.0,0.0
Association Béninoise pour le Marketing Social et la Communication pour la Santé (ABMS),abms,National NGO,0,0,0.0,0.0,0.0,0.0
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,National NGO,0,0,0.0,0.0,0.0,0.0
Association CHS Alliance,chs_alliance,International NGO,0,0,0.0,0.0,0.0,0.0
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Association de Soutien au Développement des Activités de Population,asdap,National NGO,0,0,0.0,0.0,0.0,0.0
Association des Editeurs du Magazine Jimbere,j2022,National NGO,0,0,0.0,0.0,0.0,0.0
Association des Jeunes Burundais pour le Développement Inclusif (AJEBUDI-YAGA),ajebudi_2024,National NGO,0,0,0.0,0.0,0.0,0.0
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,National NGO,0,0,0.0,0.0,0.0,0.0
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,National NGO,0,0,0.0,0.0,0.0,0.0
Association for Progressive Communication,apc,International NGO,0,0,0.0,0.0,0.0,0.0
Association for Reproductive and Family Health,arfh,National NGO,0,0,0.0,0.0,0.0,0.0
Association for Women's Rights in Development (AWID),awid,International NGO,0,0,0.0,0.0,0.0,0.0
Association of Commonwealth Universities,acu,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Atos IT Services Ltd,atosuk,Private Sector,0,0,0.0,0.0,0.0,0.0
Atradius Dutch State Business,adsb,Private Sector,0,0,0.0,0.0,0.0,0.0
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,"Academic, Training and Research",13,100,100.0,0.0,0.0,50.0
Australia - Department of  Foreign Affairs and Trade,ausgov,Government,1486,100,92.86675639300135,8.748317631224763,0.0,50.40376850605653
Auto-Développement Afrique (ADA),ada,National NGO,0,0,0.0,0.0,0.0,0.0
Autre Terre asbl,a-t,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
AUXFIN Burundi,auxfinbi,Private Sector,9,100,100.0,0.0,0.0,50.0
AUXFIN International B.V.,auxfinintl,Private Sector,1,100,100.0,0.0,0.0,50.0
Avanti Communications Plc,ava_admin,Private Sector,0,0,0.0,0.0,0.0,0.0
Avocats Sans Frontières,asf,National NGO,0,0,0.0,0.0,0.0,0.0
AVSI FOUNDATION IN UGANDA,avsi_uganda,International NGO,0,0,0.0,0.0,0.0,0.0
AVSI South Sudan,avsi-ssd,International NGO,0,0,0.0,0.0,0.0,0.0
AVT-L Association of Victims of Terrorism Lebanon,avt-l,National NGO,45,100,100.0,0.0,0.0,50.0
Awake Travel,awaketravel,Private Sector,1,100,100.0,0.0,0.0,50.0
AWEPA,awepa,International NGO,0,0,0.0,0.0,0.0,0.0
B. P. Koirala Institute of Health Sciences,bpkihs_dharan,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Babawatoto Centre For Children and Youth,bawacecy-tz,National NGO,2,100,100.0,0.0,0.0,50.0
Backward Society Education (BASE),base_22,National NGO,0,0,0.0,0.0,0.0,0.0
Balloon Ventures Foundation,bvf,International NGO,0,0,0.0,0.0,0.0,0.0
Bangladesh Business and Disability Network,bbdn,National NGO,1,100,100.0,0.0,0.0,50.0
Bangladesh Nari Progati Sangha,bnps,National NGO,0,0,0.0,0.0,0.0,0.0
Bangladesh Primary Care Respiratory Society,bpcrs,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Bangladesh Youth Leadership Center,bylc,National NGO,0,0,0.0,0.0,0.0,0.0
Bani Abdurrahman Wahid Foundation (YBAW),ybawahid,Foundation,0,0,0.0,0.0,0.0,0.0
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,Multilateral,0,0,0.0,0.0,0.0,0.0
Basel Institute on Governance,basel_institute,Foundation,1,100,100.0,0.0,0.0,50.0
BasicNeeds,basicneeds,International NGO,0,0,0.0,0.0,0.0,0.0
Basil Energetics Private Limited,bepl,Private Sector,0,0,0.0,0.0,0.0,0.0
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,National NGO,1,100,100.0,0.0,0.0,50.0
BBC Media Action,bbcmediaaction,International NGO,2,100,100.0,0.0,0.0,50.0
Bboxx,bboxx,Private Sector,0,0,0.0,0.0,0.0,0.0
BDO LLP,bdo,Private Sector,0,0,0.0,0.0,0.0,0.0
Bees Abroad UK,bauk,International NGO,0,0,0.0,0.0,0.0,0.0
Bees for Development Trust,beesfordevelopment,International NGO,0,0,0.0,0.0,0.0,0.0
Behavioural Insights Team,bit,Private Sector,0,0,0.0,0.0,0.0,0.0
Belgian development agency (Enabel),enabel,Government,8,100,0.0,0.0,0.0,25.0
Belgian Development Cooperation,be-dgd,Government,93,100,100.0,0.0,0.0,50.0
Benelux Afro Center,bac,National NGO,0,0,0.0,0.0,0.0,0.0
Berytech Foundation,berytech,Foundation,0,0,0.0,0.0,0.0,0.0
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,National NGO,0,0,0.0,0.0,0.0,0.0
BFA Global Kenya Ltd,bfa_global,Private Sector,0,0,0.0,0.0,0.0,0.0
Bibliothèques Sans Frontières,bsf1,International NGO,1,100,100.0,0.0,0.0,50.0
Bioclimate Research and Development,bioclimate,International NGO,0,0,0.0,0.0,0.0,0.0
Blue Veins,bveins,National NGO,0,0,0.0,0.0,0.0,0.0
Blue Ventures Conservation,blueventures,International NGO,0,0,0.0,0.0,0.0,0.0
Bond,bond,National NGO,0,0,0.0,0.0,0.0,0.0
BoP Innovation Center,bopinc,Foundation,0,0,0.0,0.0,0.0,0.0
BOS+ tropen,bos_plus_tropen,National NGO,0,0,0.0,0.0,0.0,0.0
Boston Consulting Group UK LLP,bcg,Private Sector,0,0,0.0,0.0,0.0,0.0
Boston University,bu-carbx-admin,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Both ENDS,bothends,National NGO,0,0,0.0,0.0,0.0,0.0
Bournemouth University Higher Education Corporation,bournemouth_university,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
BRAC,brac_admin2,International NGO,5,100,100.0,0.0,0.0,50.0
BRAC UK,bracuk,International NGO,0,0,0.0,0.0,0.0,0.0
BRAC University,bu,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Brigham and Women's Hospital,bwh,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Brink Innovation,brink_innovation,Private Sector,0,0,0.0,0.0,0.0,0.0
British & Irish Agencies Afghanistan Group,baag,International NGO,0,0,0.0,0.0,0.0,0.0
British Asian Trust,b_a_t,International NGO,0,0,0.0,0.0,0.0,0.0
British Council,britishcouncil,Other Public Sector,0,0,0.0,0.0,0.0,0.0
British International Investment plc,bii,Other Public Sector,0,0,0.0,0.0,0.0,0.0
British Red Cross,gb-chc-220949,International NGO,241,100,66.39004149377593,0.0,0.0,41.59751037344398
Broederlijk Delen,bd,National NGO,0,0,0.0,0.0,0.0,0.0
Brujula Comunicaciones Estrategicas SAS,brujula,Private Sector,0,0,0.0,0.0,0.0,0.0
Brulocalis,brulocalis,Other Public Sector,0,0,0.0,0.0,0.0,0.0
BSR,bsr_admin,International NGO,0,0,0.0,0.0,0.0,0.0
Bucks Community NGO,bucksfarm,National NGO,0,0,0.0,0.0,0.0,0.0
Buddhist Compassion Relief Tzu Chi Foundation,tzuchiuk,National NGO,0,0,0.0,0.0,0.0,0.0
Build Africa,buildafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Burns Violence Survivors - Nepal,bvs-nepal,National NGO,0,0,0.0,0.0,0.0,0.0
Burundi Leadership Training Programme,bltp,National NGO,0,0,0.0,0.0,0.0,0.0
Business in the Community,bitc,International NGO,0,0,0.0,0.0,0.0,0.0
Business Watch Indonesia,bwi,National NGO,0,0,0.0,0.0,0.0,0.0
C40 Cities Climate Leadership Group,c40cities,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
CABI,cabi,Multilateral,0,0,0.0,0.0,0.0,0.0
Cadasta Foundation,cadasta,International NGO,0,0,0.0,0.0,0.0,0.0
CAF Banco de Desarrollo de América Latina y el Caribe,caf,Multilateral,0,0,0.0,0.0,0.0,0.0
Cambridge Institute for Sustainability Leadership,cisl,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Camfed International,camfed,International NGO,0,0,0.0,0.0,0.0,0.0
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,Government,394,100,100.0,0.0,0.0,50.0
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,Other Public Sector,4,100,0.0,0.0,0.0,25.0
Canada Department of Finance / Ministère des Finances Canada,finance_canada,Government,0,0,0.0,0.0,0.0,0.0
CANADEM,canadem,International NGO,14,100,100.0,0.0,0.0,50.0
Canon Collins Trust,canoncollinstrust,International NGO,0,0,0.0,0.0,0.0,0.0
CAPABUILD,capabui,International NGO,11,100,100.0,0.0,0.0,50.0
Carbon Trust (Beijing) Consulting Limited,ctbeijing,Private Sector,0,0,0.0,0.0,0.0,0.0
Carbon Trust Advisory Ltd,carbontrustadvisory,Private Sector,1,100,100.0,0.0,0.0,50.0
Cardno Emerging Markets,cardnoem,Private Sector,0,0,0.0,0.0,0.0,0.0
CARE Bangladesh,carebd,International NGO,0,0,0.0,0.0,0.0,0.0
CARE BENIN/TOGO,carebenintogo,International NGO,2,100,100.0,0.0,0.0,50.0
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,National NGO,9,100,100.0,0.0,22.22222222222222,55.55555555555556
CARE International Afghanistan,ciafg,International NGO,2,100,100.0,0.0,0.0,50.0
CARE international foundation Switzerland in Sudan,cis,International NGO,0,0,0.0,0.0,0.0,0.0
CARE International in Zimbabwe,ciz,International NGO,1,100,100.0,0.0,0.0,50.0
CARE International UK,ciuk,International NGO,259,100,100.0,0.0,0.0,50.0
CARE Nederland,carenederland,International NGO,66,100,100.0,0.0,0.0,50.0
CARE Nepal,cnepal,International NGO,3,100,100.0,0.0,0.0,50.0
CARE SOMALIA,csom1,National NGO,0,0,0.0,0.0,0.0,0.0
Carers Worldwide,cww,International NGO,0,0,0.0,0.0,0.0,0.0
Caribbean Development Bank (CDB),caribank,Multilateral,2,100,100.0,0.0,0.0,50.0
Caritas Denmark,caritas_denmark,National NGO,0,0,0.0,0.0,0.0,0.0
Caritas Finland,caritasfin,National NGO,1,100,100.0,0.0,0.0,50.0
Caritas International (Belgium),cibe,National NGO,0,0,0.0,0.0,0.0,0.0
Caritas Serbia,caritas_serbia,National NGO,0,0,0.0,0.0,0.0,0.0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,International NGO,0,0,0.0,0.0,0.0,0.0
Catholic Agency For Overseas Development (CAFOD),cafod,International NGO,959,100,0.0,0.0,0.0,25.0
Catholic Relief Services,crs,International NGO,8,100,100.0,75.0,0.0,68.75
CDA Collaborative Learning Projects,cda,International NGO,1,100,0.0,0.0,0.0,25.0
CDAC Network,cdacnetwork,International NGO,1,100,100.0,0.0,0.0,50.0
CDP Worldwide,cdp,International NGO,0,0,0.0,0.0,0.0,0.0
Cecily's Fund,cecily,International NGO,0,0,0.0,0.0,0.0,0.0
Center for Church-Based Development,cku,International NGO,0,0,0.0,0.0,0.0,0.0
Center for Civilians in Conflict,civic_admin,International NGO,9,100,100.0,0.0,0.0,50.0
Center for Development and Integration,cdi_vn_2021,National NGO,0,0,0.0,0.0,0.0,0.0
Center for International Legal Cooperation (CILC),cilc,Foundation,1,100,100.0,100.0,0.0,75.0
Center for International Studies and Cooperation,ceci,International NGO,0,0,0.0,0.0,0.0,0.0
Center for Natural Resource Studies (CNRS),cnrs,National NGO,0,0,0.0,0.0,0.0,0.0
Center for Participation and Development,cpd_2021,National NGO,3,100,100.0,0.0,0.0,50.0
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,National NGO,0,0,0.0,0.0,0.0,0.0
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,National NGO,0,0,0.0,0.0,0.0,0.0
Center for the Study of Islam and Society (PPIM),ppim,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Centre des Etudes Méditerranéennes et Internationales,cemi,National NGO,0,0,0.0,0.0,0.0,0.0
Centre Diocésain de Communication de Ouahigouya,cdc_ohg,National NGO,0,0,0.0,0.0,0.0,0.0
Centre For Citizens With Disabilities,ccdnigeria,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Economic Policy Research,cepr,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Economic Strategy Ukraine,ces-ua,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Environment Human Rights and Development,cehrd1,International NGO,76,100,100.0,0.0,0.0,50.0
Centre for Humanitarian Dialogue (HD Centre),hdcentre,Foundation,0,0,0.0,0.0,0.0,0.0
Centre for Indian Knowledge Systems,ciks,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Centre for Information Resilience,cir,International NGO,5,100,100.0,0.0,0.0,50.0
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Journalism Innovation and Development,cjid_ng,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Legal Research and Development,clerd-prpi,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Policy Dialogue,cpd,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for Rights Education and Awareness,creawkenya,National NGO,0,0,0.0,0.0,0.0,0.0
Centre for the Study of Adolescence,csa-kenya,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Centre International de Développement et de Recherche,cidr,International NGO,0,0,0.0,0.0,0.0,0.0
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,National NGO,0,0,0.0,0.0,0.0,0.0
Centre Tricontinental - CETRI,ct-admin,National NGO,0,0,0.0,0.0,0.0,0.0
Centro Brasileiro de Análise e Planejamento - Cebrap,_cebrap,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,National NGO,0,0,0.0,0.0,0.0,0.0
Centro de Inteligência Territorial,cit_brazil,"Academic, Training and Research",4,100,100.0,0.0,0.0,50.0
