Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
Action Against Hunger USA,aahusa,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
Action Aid Cambodia,aac,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
Action Canada for Sexual Health and Rights,acfshr,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,55.55555555555556,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,55.55555555555556
Action Contre la Faim,acf-fr,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
ActionAid Bangladesh,aab,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,6.666666666666667,0.0,0.0,100.0,0.0,20.0,100.0,58.333333333333336,6.666666666666667,32.40740740740741,6.666666666666667,0.0,0.0,100.0,0.0,20.0,100.0,58.333333333333336,6.666666666666667,32.40740740740741
ActionAid Ghana,aag,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ActionAid International,aai,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,44.44444444444444,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,44.44444444444444
ActionAid International Nepal,aain,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ActionAid Rwanda,aar,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ActionAid UK,aauk,53.65853658536586,7.317073170731707,0.0,100.0,0.0,0.0,48.78048780487805,32.142857142857146,0.0,26.877661633759196,53.65853658536586,7.317073170731707,0.0,100.0,0.0,0.0,100.0,32.142857142857146,0.0,32.568718544328306
Acumen,acumen,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
ACV-CSC International,iiwe,0.0,75.0,75.0,100.0,0.0,0.0,100.0,-,0.0,38.888888888888886,0.0,75.0,75.0,100.0,0.0,0.0,100.0,-,0.0,38.888888888888886
Adam Smith International,asi,30.0,30.0,0.0,100.0,0.0,15.0,100.0,35.294117647058826,5.0,35.032679738562095,30.0,30.0,0.0,100.0,0.0,15.0,100.0,35.294117647058826,5.0,35.032679738562095
Adaptation Fund,af,0.0,100.0,0.0,36.36363636363637,0.0,0.0,0.0,40.909090909090914,0.0,19.6969696969697,0.0,100.0,0.0,100.0,0.0,100.0,0.0,40.909090909090914,0.0,37.87878787878788
ADD International (Action on Disability and Development),addinternational,14.285714285714285,42.857142857142854,0.0,42.857142857142854,0.0,64.28571428571429,100.0,66.66666666666666,0.0,36.77248677248677,14.285714285714285,42.857142857142854,0.0,50.0,0.0,64.28571428571429,100.0,66.66666666666666,0.0,37.56613756613756
Adili Solar Hubs Limited,adili_sh,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
Administração de Infra-Estruturas de Águas e Saneamento,aias,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,33.333333333333336,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,33.333333333333336
ADRA Denmark,adra-dk,0.0,0.0,0.0,100.0,0.0,11.76470588235294,100.0,46.666666666666664,11.76470588235294,30.021786492374726,0.0,0.0,0.0,100.0,0.0,11.76470588235294,100.0,46.666666666666664,11.76470588235294,30.021786492374726
ADRA-UK,adrauk,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,22.22222222222222,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,22.22222222222222
ADS-Nyanza,ads-nyanza,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Advance Consulting,ac1999,100.0,33.33333333333333,0.0,100.0,0.0,100.0,100.0,0.0,100.0,59.25925925925925,100.0,33.33333333333333,0.0,100.0,0.0,100.0,100.0,0.0,100.0,59.25925925925925
Adventist Development and Relief Agency (ADRA Somalia),adrasom,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
"Adventist Development and Relief Agency, Nepal",adra_nepal,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
AECOM,aecom,0.0,0.0,0.0,100.0,0.0,0.0,0.0,75.0,0.0,19.444444444444443,0.0,0.0,0.0,100.0,0.0,0.0,0.0,75.0,0.0,19.444444444444443
Aeras,aeras,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111
AFELT,afelt,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
AFEW International,afewinternational,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Afghanaid,afghanaid,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222
Afghanistan and Central Asian Association,acaa,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Afghanistan Public Policy Research Organization (APPRO),appro-af,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Africa Climate Ventures,acv,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Africa Educational Trust,aet,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,50.0,100.0,0.0,0.0,27.77777777777778
Africa Philanthropy Network,apn,100.0,0.0,0.0,100.0,0.0,100.0,100.0,-,100.0,55.55555555555556,100.0,0.0,0.0,100.0,0.0,100.0,100.0,-,100.0,55.55555555555556
Africalia,africalia,0.0,87.5,87.5,100.0,0.0,0.0,100.0,50.0,0.0,47.22222222222222,0.0,87.5,87.5,100.0,0.0,0.0,100.0,50.0,0.0,47.22222222222222
African Academy of Sciences,aas,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333333333333336,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333333333333336
African Center for Economic Transformation (ACET),acet,0.0,0.0,0.0,79.62962962962963,0.0,27.77777777777778,0.0,97.72727272727273,0.0,22.792742237186683,0.0,0.0,0.0,79.62962962962963,0.0,27.77777777777778,0.0,97.72727272727273,0.0,22.792742237186683
African Centre for Global Health and Social Transformation,achest,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
African Centre for Trade and Development,actade,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
African Development Bank,afdb,100.0,97.25776965265082,97.25776965265082,100.0,100.0,100.0,77.05667276051187,77.45222929936307,96.3436928702011,93.92979269281975,100.0,97.25776965265082,97.25776965265082,100.0,100.0,100.0,77.05667276051187,77.45222929936307,96.3436928702011,93.92979269281975
African Disability Forum (ADF),et-adf-0317,100.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,71.42857142857143,46.82539682539683,100.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,71.42857142857143,46.82539682539683
African Initiatives,ai_1064413,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
African Institute For Development Policy,afidep,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
African Parks Network,african_parks,0.0,7.142857142857142,7.142857142857142,100.0,0.0,100.0,0.0,50.0,0.0,29.365079365079364,0.0,7.142857142857142,7.142857142857142,100.0,0.0,100.0,0.0,50.0,0.0,29.365079365079364
African Population and Health Research Center,aphrc,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
African Revival,africanrevival,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.11111111111111
African Security Sector Network,assn,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111
African Tax Administration Forum,ataf,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-,0.0,22.22222222222222
African Women's Development and Communication Network,femnet,0.0,0.0,0.0,100.0,0.0,0.0,10.0,53.333333333333336,90.0,28.14814814814815,0.0,0.0,0.0,100.0,0.0,0.0,10.0,53.333333333333336,90.0,28.14814814814815
African Women's Development Fund,awdf,50.0,0.0,0.0,100.0,0.0,10.0,50.0,-,20.0,25.555555555555557,50.0,0.0,0.0,100.0,0.0,10.0,50.0,-,20.0,25.555555555555557
Afrikagrupperna Sweden,afrikagrupperna,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
AfriKids,afrikids,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,44.44444444444444,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,44.44444444444444
Aga Khan Foundation (United Kingdom),akfuk73,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
Aga Khan Foundation Afghanistan,akf_afghanistan,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
AgDevCo,agdevco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.24528301886792,0.0,8.80503144654088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.24528301886792,0.0,8.80503144654088
Agence Française de Développement,afd,100.0,59.02741852043456,59.02741852043456,100.0,58.09622348680807,59.02741852043456,59.02741852043456,52.0951888256596,13.657527159855148,62.217623728229,100.0,59.02741852043456,59.02741852043456,100.0,58.09622348680807,59.02741852043456,59.02741852043456,52.0951888256596,13.657527159855148,62.217623728229
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Agency for Cooperation and Research in Development (ACORD),acord,100.0,0.0,0.0,100.0,0.0,50.0,100.0,100.0,50.0,55.55555555555556,100.0,0.0,0.0,100.0,0.0,50.0,100.0,100.0,50.0,55.55555555555556
AgResults Initiative,agresults,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,16.666666666666668,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,16.666666666666668
Agroicone,agroicone,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Agsol Limited,agsollimited,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
Agulhas Applied Knowledge,aak,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,44.44444444444444,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,44.44444444444444
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,0.0,49.92175273865415,49.92175273865415,100.0,100.0,6.103286384976526,100.0,16.93404634581105,0.0,46.98675980089954,0.0,49.92175273865415,49.92175273865415,100.0,100.0,6.103286384976526,100.0,16.93404634581105,0.0,46.98675980089954
AidData,aiddata,0.0,70.06222336262749,70.06222336262749,72.61530566425043,0.0,0.0,0.0,18.055426823616646,0.0,25.643908801458007,0.0,70.06222336262749,70.06222336262749,100.0,0.0,0.0,0.0,18.055426823616646,0.0,28.68665261654129
AIDS and Rights Alliance for Southern Africa,arasaregional,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,75.0,30.555555555555557,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,75.0,30.555555555555557
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,76.19047619047619,41.7989417989418,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,76.19047619047619,41.7989417989418
AIDSPAN,aidspan,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
Air Charter Service Group Ltd,acs_group,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222
Akili Dada,ad,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,88.88888888888889,43.20987654320988,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,88.88888888888889,43.20987654320988
Akina Mama wa Afrika,amwa,70.0,70.0,70.0,100.0,0.0,70.0,70.0,85.71428571428571,60.0,66.19047619047619,70.0,70.0,70.0,100.0,0.0,70.0,70.0,85.71428571428571,60.0,66.19047619047619
Aktis Strategy Ltd,aktis,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.66666666666666,0.0,18.51851851851852,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.66666666666666,0.0,18.51851851851852
Akvo Foundation,akvo,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Al Majmoua,al_majmoua,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,27.77777777777778,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,27.77777777777778
Alcis Holdings Limited,alcis,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Alfalit,alfalit,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,22.22222222222222
Alinea International Ltd.,alineainternational_2020,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336
Alinea International Ltd. UK,alinea_uk,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336
All We Can (formerly Methodist Relief and Development Fund),allwecan,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Allergy and Asthma Institute Pakistan,aaip,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
Alliance for a Green Revolution for Africa,agra,0.0,0.0,0.0,100.0,0.0,0.0,100.0,-,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,100.0,-,0.0,22.22222222222222
"Alliance for Global Water Adaptation, Inc",agwa,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,11.11111111111111
Altai Consulting,altai,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
American Friends Service Committee,afsc,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Amnesty International The Netherlands,amnesty,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,20.0,16.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,20.0,16.11111111111111
Amnesty International UK Section Charitable Trust,aiuk,100.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,22.22222222222222,100.0,0.0,0.0,100.0,0.0,0.0,0.0,-,0.0,22.22222222222222
AmplifyChange,amplifychange,100.0,0.0,0.0,100.0,0.0,0.0,100.0,74.64788732394366,0.0,41.62754303599374,100.0,0.0,0.0,100.0,0.0,0.0,100.0,74.64788732394366,0.0,41.62754303599374
Amref Flying Doctors,amrefnl,75.60975609756098,31.70731707317073,31.70731707317073,100.0,0.0,12.195121951219512,100.0,77.14285714285715,12.195121951219512,48.95083236546652,75.60975609756098,31.70731707317073,31.70731707317073,100.0,0.0,12.195121951219512,100.0,77.14285714285715,12.195121951219512,48.95083236546652
Amref Health Africa - UK,amrefha,25.0,75.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,50.0,25.0,75.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,50.0
Amref Health Africa Headquarters,amrefhq,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,33.333333333333336,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,33.333333333333336
Amref Health Africa in Ethiopia,amrefeth,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,33.333333333333336,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,33.333333333333336
Amref Health Africa in Kenya,amrefkenya,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,44.44444444444444,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,44.44444444444444
Amref health Africa in Senegal,awa_sn,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,33.333333333333336,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,33.333333333333336
Amref Health Africa in Tanzania,amreftz,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,50.0,38.888888888888886,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,50.0,38.888888888888886
Amref Health Africa in Uganda,amrefug,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,55.55555555555556,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,55.55555555555556
Amref Health Africa Malawi,amrefmw,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ANDA,anda,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,22.22222222222222
Anti-Slavery International,asil,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.333333333333336
Apollo Agriculture,apolloagriculture,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
APOPO,apopo,0.0,80.0,80.0,100.0,0.0,0.0,100.0,50.0,0.0,45.55555555555556,0.0,80.0,80.0,100.0,0.0,0.0,100.0,50.0,0.0,45.55555555555556
APPRO-Europe,appro-eu,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
APT Action on Poverty,apt,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Aqua for All,aqua4all,100.0,80.0,80.0,80.0,0.0,100.0,100.0,33.33333333333333,100.0,74.81481481481482,100.0,80.0,80.0,80.0,0.0,100.0,100.0,33.33333333333333,100.0,74.81481481481482
Arab foundation for freedoms and equality,afemena,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Arab Reporters for Investigative Journalism,arij,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Arab Women Organization of Jordan,awo2022,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,22.22222222222222
ARK (Absolute Return for Kids),ark,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,44.44444444444444,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,44.44444444444444
ARK Group DMCC,arkgroupdmcc1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.22222222222222
ARQ International,arq_intl,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Article19,art19,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
